Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Total_Test_Results,Case_Fatality_Ratio
Texas,US,2020-09-16 04:30:32,31.0545,-97.5635,697241,14895,585912.0,92248.0,48.0,2389.142788936125,5247542.0,,2.106522815491236,84000048.0,USA,18097.542888936536,,,
Texas,US,2020-09-15 03:30:30,31.0545,-97.5635,690216,14753,577832.0,93465.0,48.0,2364.984185167541,5550139.0,,2.107333889417104,84000048.0,USA,19141.129045190934,,,
Texas,US,2020-09-22 04:30:33,31.0545,-97.5635,739487,15417,611856.0,107795.0,48.0,2534.077167719098,5622498.0,,2.0587170546750166,84000048.0,USA,19390.678282891284,,,
Texas,US,2020-09-21 04:30:33,31.0545,-97.5635,717727,15366,609210.0,88709.0,48.0,2458.994089539821,5593488.0,,2.1161082570016845,84000048.0,USA,19290.629589768283,,,
Texas,US,2020-09-13 04:32:00,31.0545,-97.5635,681899,14629,568067.0,95317.0,48.0,2337.283699019181,5454041.0,,2.1147501313234454,84000048.0,USA,18809.70955840245,,,
Texas,US,2020-09-14 04:30:37,31.0545,-97.5635,686166,14709,577832.0,89648.0,48.0,2351.661603246337,5550139.0,,2.1125263057553694,84000048.0,USA,19141.129045190934,,,
Texas,US,2020-09-27 04:30:34,31.0545,-97.5635,760281,15987,649580.0,89024.0,48.0,2601.441908248968,5994813.0,,2.08229761994721,84000048.0,USA,20674.70548661722,,,
Texas,US,2020-09-28 04:30:36,31.0545,-97.5635,765003,16029,652376.0,90635.0,48.0,2616.771671810903,6016907.0,,2.075107149070321,84000048.0,USA,20750.902516119444,,,
Texas,US,2020-09-19 04:30:26,31.0545,-97.5635,709198,15232,600662.0,88950.0,48.0,2429.8727119207038,5444801.0,,2.122024574097704,84000048.0,USA,18777.842963281582,,,
Texas,US,2020-09-20 04:30:31,31.0545,-97.5635,712051,15323,605522.0,87367.0,48.0,2441.519193708927,5563176.0,,2.126027629460124,84000048.0,USA,19186.09060369644,,,
Texas,US,2020-09-06 04:30:30,31.0545,-97.5635,659411,13873,538282.0,103957.0,48.0,2261.752281298161,5183948.0,,2.0700959874354807,84000048.0,USA,17878.222082646844,,,
Texas,US,2020-09-05 04:30:29,31.0545,-97.5635,654952,13729,532223.0,105701.0,48.0,2246.353542422112,5119753.0,,2.0612573885008056,84000048.0,USA,17656.82856816801,,,
Texas,US,2020-10-02 04:30:36,31.0545,-97.5635,781843,16402,668515.0,92091.0,48.0,2678.780479199787,6282329.0,,2.076638652000165,84000048.0,USA,21666.280807263614,,,
Texas,US,2020-10-17 04:30:24,31.0545,-97.5635,851830,17653,719478.0,106634.0,48.0,2908.989038822445,7211046.0,,2.0599013381356204,84000048.0,USA,24869.208147184767,,,
Texas,US,2020-10-18 04:30:24,31.0545,-97.5635,856684,17723,723204.0,107798.0,48.0,2926.0776728942988,7274236.0,,2.05553237581355,84000048.0,USA,25087.13565212935,,,
Texas,US,2020-10-29 04:30:35,31.0545,-97.5635,921888,18489,767905.0,125768.0,48.0,3144.7052772771417,7933477.0,,1.991807728371909,84000048.0,USA,27360.70340473532,,,
Texas,US,2020-10-30 04:30:29,31.0545,-97.5635,928809,18606,772350.0,128095.0,48.0,3168.453477926744,8005112.0,,1.989287280904649,84000048.0,USA,27607.755736064715,,,
Texas,US,2020-10-23 04:30:40,31.0545,-97.5635,880754,17961,744283.0,109511.0,48.0,3005.43722054867,7532717.0,,2.0263858177090444,84000048.0,USA,25978.57606051012,,,
Texas,US,2020-10-24 04:30:33,31.0545,-97.5635,887961,18077,748252.0,112542.0,48.0,3029.971739779178,7611586.0,,2.0229532864312,84000048.0,USA,26250.576762954708,,,
Texas,US,2020-10-12 04:30:24,31.0545,-97.5635,826196,17239,703662.0,97793.0,48.0,2822.5595214713426,6887551.0,,2.073614474613465,84000048.0,USA,23753.549685212187,,,
Texas,US,2020-10-11 04:30:32,31.0545,-97.5635,824119,17208,701583.0,97389.0,48.0,2813.8996707842743,6830631.0,,2.0765643480019365,84000048.0,USA,23557.24594124249,,,
Texas,US,2020-10-26 04:30:38,31.0545,-97.5635,901131,18261,755095.0,118956.0,48.0,3076.319702098377,7762242.0,,2.0128788371378667,84000048.0,USA,26770.154009115988,,,
Texas,US,2020-10-25 04:30:24,31.0545,-97.5635,897630,18214,753611.0,116836.0,48.0,3063.7523998667257,7710195.0,,2.0166328591272475,84000048.0,USA,26590.656100430264,,,
Texas,US,2020-10-07 04:30:35,31.0545,-97.5635,806225,16808,687277.0,94764.0,48.0,2754.0773808528197,6636248.0,,2.0697021797740707,84000048.0,USA,22886.86451706709,,,
Texas,US,2020-10-08 04:30:35,31.0545,-97.5635,811391,16928,692123.0,94906.0,48.0,2771.738510031821,6664440.0,,2.073062996926676,84000048.0,USA,22984.092119842808,,,
Texas,US,2020-10-22 04:30:36,31.0545,-97.5635,877928,17944,739140.0,112189.0,48.0,2996.911871724125,7474874.0,,2.031344758976318,84000048.0,USA,25779.089105794028,,,
Texas,US,2020-10-21 04:30:32,31.0545,-97.5635,870980,17851,733758.0,110961.0,48.0,2973.791346432964,7444326.0,,2.0362366153799765,84000048.0,USA,25673.73621101563,,,
Texas,US,2020-10-16 04:30:37,31.0545,-97.5635,845717,17558,716015.0,104268.0,48.0,2888.568897078864,7111890.0,,2.063479176566384,84000048.0,USA,24527.242334868184,,,
Texas,US,2020-10-15 04:30:37,31.0545,-97.5635,840829,17464,711438.0,104110.0,48.0,2871.9113587202264,7067676.0,,2.0640395035161205,84000048.0,USA,24374.758607955388,,,
Texas,US,2020-10-09 04:30:36,31.0545,-97.5635,815327,17034,695194.0,95793.0,48.0,2785.7542938598767,6703106.0,,2.075755737514144,84000048.0,USA,23117.442094620263,,,
Texas,US,2020-10-10 04:30:24,31.0545,-97.5635,819912,17130,698481.0,96839.0,48.0,2801.056467296165,6746030.0,,2.0772207522614754,84000048.0,USA,23265.47691377269,,,
Texas,US,2020-10-03 04:30:36,31.0545,-97.5635,787698,16501,672144.0,93938.0,48.0,2697.9901041806597,6368742.0,,2.0738687930298374,84000048.0,USA,21964.2989981922,,,
Texas,US,2020-10-04 04:30:24,31.0545,-97.5635,793064,16571,677244.0,93886.0,48.0,2715.644335828251,6472939.0,,2.069403435247801,84000048.0,USA,22323.65003843132,,,
Texas,US,2020-10-31 04:30:34,31.0545,-97.5635,934760,18714,776580.0,129482.0,48.0,3188.201110357709,8080012.0,,1.988756521466347,84000048.0,USA,27866.068287423303,,,
Texas,US,2020-10-06 04:30:27,31.0545,-97.5635,799793,16717,683700.0,94182.0,48.0,2739.4201266034997,6571677.0,,2.069319756923856,84000048.0,USA,22664.17426668291,,,
Texas,US,2020-10-05 04:30:35,31.0545,-97.5635,795520,16601,680083.0,93791.0,48.0,2725.1939680673954,6537885.0,,2.065315606041048,84000048.0,USA,22547.63357595515,,,
Texas,US,2020-10-19 04:30:24,31.0545,-97.5635,862191,17753,726231.0,110310.0,48.0,2945.2666052809363,7326919.0,,2.0450675990566807,84000048.0,USA,25268.82697580391,,,
Texas,US,2020-10-20 04:30:29,31.0545,-97.5635,865445,17777,729762.0,109705.0,48.0,2955.412873987171,7384043.0,,2.039913740390316,84000048.0,USA,25465.834267977574,,,
Texas,US,2020-10-27 04:30:25,31.0545,-97.5635,907706,18299,758192.0,122132.0,48.0,3098.033130981604,7809150.0,,2.001331400798396,84000048.0,USA,26931.92871084,,,
Texas,US,2020-10-28 04:30:37,31.0545,-97.5635,914584,18383,763108.0,123600.0,48.0,3120.336298800509,7883440.0,,1.9962001350620988,84000048.0,USA,27188.13751511809,,,
Texas,US,2020-10-01 04:30:28,31.0545,-97.5635,778057,16288,664883.0,92120.0,48.0,2665.961417071617,6237157.0,,2.0718766291643544,84000048.0,USA,21510.493162804745,,,
Texas,US,2020-10-13 04:30:36,31.0545,-97.5635,828815,17271,705189.0,98926.0,48.0,2831.816008625501,6951394.0,,2.069759228361608,84000048.0,USA,23973.7292341626,,,
Texas,US,2020-10-14 04:30:28,31.0545,-97.5635,834761,17360,708349.0,101389.0,48.0,2851.4946657423525,7012023.0,,2.065513971669634,84000048.0,USA,24182.82445013483,,,
Texas,US,2020-11-04 05:30:25,31.0545,-97.5635,992250,18987,792286.0,139384.0,48.0,3277.368947679154,8328869.0,,1.9606398807957888,84000048.0,USA,28724.3177746522,,,
Texas,US,2020-11-03 06:00:57,31.0545,-97.5635,982529,18882,787685.0,136084.0,48.0,3249.782270799084,8291703.0,,1.9668832636635991,84000048.0,USA,28596.14094843333,,,
Texas,US,2020-11-10 05:42:01,31.0545,-97.5635,1046241,19589,820156.0,158648.0,48.0,3441.961290984744,,,,84000048.0,USA,30521.376467229948,,8849942.0,1.9261001956860888
Texas,US,2020-11-09 05:30:38,31.0545,-97.5635,1039049,19535,820215.0,151531.0,48.0,3417.4854007712347,8734857.0,,1.9359591494858368,84000048.0,USA,30124.475265986915,,,
Texas,US,2020-11-15 05:30:30,31.0545,-97.5635,1107456,20283,861205.0,171106.0,48.0,3628.891289766296,,,,84000048.0,USA,31850.668720843485,,9235382.0,1.892933952590168
Texas,US,2020-11-16 05:30:30,31.0545,-97.5635,1115378,20373,871784.0,167967.0,48.0,3654.839802936148,,,,84000048.0,USA,31873.296072638725,,9241943.0,1.8874209367654533
Texas,US,2020-11-21 05:30:30,31.0545,-97.5635,1179707,21096,901943.0,194801.0,48.0,3853.978432315956,,,,84000048.0,USA,33753.88387060907,,9787236.0,1.8569210600494857
